Span Loc(m)	Chord(m)	IB Height(m)	IB Width(m)	Web Height(m)	Web Width(m)	IB Area(m2)	Moment(Nm)	Wing Weight(N/m)
0.370000	3.999315	0.299949	0.531909	0.295949	0.001000	0.002424	4061.310585	138.977964
0.372000	3.999308	0.299948	0.531908	0.295948	0.001000	0.002424	4060.334202	138.977706
0.374000	3.999301	0.299948	0.531907	0.295948	0.001000	0.002424	4059.357947	138.977446
0.376000	3.999293	0.299947	0.531906	0.295947	0.001000	0.002424	4058.381818	138.977185
0.378000	3.999286	0.299946	0.531905	0.295946	0.001000	0.002424	4057.405818	138.976923
0.380000	3.999278	0.299946	0.531904	0.295946	0.001000	0.002424	4056.429944	138.976659
0.382000	3.999270	0.299945	0.531903	0.295945	0.001000	0.002424	4055.454198	138.976394
0.384000	3.999263	0.299945	0.531902	0.295945	0.001000	0.002424	4054.478579	138.976128
0.386000	3.999255	0.299944	0.531901	0.295944	0.001000	0.002424	4053.503087	138.975860
0.388000	3.999247	0.299944	0.531900	0.295944	0.001000	0.002424	4052.527723	138.975591
0.390000	3.999239	0.299943	0.531899	0.295943	0.001000	0.002424	4051.552486	138.975320
0.392000	3.999232	0.299942	0.531898	0.295942	0.001000	0.002424	4050.577376	138.975048
0.394000	3.999224	0.299942	0.531897	0.295942	0.001000	0.002424	4049.602394	138.974775
0.396000	3.999216	0.299941	0.531896	0.295941	0.001000	0.002424	4048.627538	138.974500
0.398000	3.999208	0.299941	0.531895	0.295941	0.001000	0.002424	4047.652811	138.974224
0.400000	3.999200	0.299940	0.531894	0.295940	0.001000	0.002424	4046.678210	138.973946
0.402000	3.999192	0.299939	0.531893	0.295939	0.001000	0.002424	4045.703737	138.973667
0.404000	3.999184	0.299939	0.531891	0.295939	0.001000	0.002424	4044.729391	138.973387
0.406000	3.999176	0.299938	0.531890	0.295938	0.001000	0.002423	4043.755172	138.973105
0.408000	3.999168	0.299938	0.531889	0.295938	0.001000	0.002423	4042.781081	138.972822
0.410000	3.999159	0.299937	0.531888	0.295937	0.001000	0.002423	4041.807117	138.972537
0.412000	3.999151	0.299936	0.531887	0.295936	0.001000	0.002423	4040.833280	138.972252
0.414000	3.999143	0.299936	0.531886	0.295936	0.001000	0.002423	4039.859570	138.971964
0.416000	3.999135	0.299935	0.531885	0.295935	0.001000	0.002423	4038.885988	138.971676
0.418000	3.999126	0.299934	0.531884	0.295934	0.001000	0.002423	4037.912533	138.971385
0.420000	3.999118	0.299934	0.531883	0.295934	0.001000	0.002423	4036.939206	138.971094
0.422000	3.999109	0.299933	0.531882	0.295933	0.001000	0.002423	4035.966006	138.970801
